"","Run","ID","Experiment","Timepoint..dpi.","infected_control","Library","avgSpotLen","infection_type","Category","Category_trophs","Tissue","Timepoint_dpi","pathogen","pathogen_abbr","inf_path","p_pseudoaligned","LibrarySize","n_processed","LibrarySize_kallisto"
"24","ERR7738945",1,"Cauliflower mosaic virus (CaMV)","21","infected","paired",150,"infected","viral pathogen","","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","CaMV",86.6,27914948.9325609,32220560,27916909
"25","ERR7738946",2,"Cauliflower mosaic virus (CaMV)","21","infected","paired",150,"infected","viral pathogen","","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","CaMV",86.6,25091016.2436271,28982193,25092950
"26","ERR7738947",3,"Cauliflower mosaic virus (CaMV)","21","infected","paired",150,"infected","viral pathogen","","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","CaMV",86.5,24838749.6036957,28718288,24840655
"18","ERR7738939",4,"Cauliflower mosaic virus (CaMV)","21","control","paired",150,"control","control","control","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","control",95.9,32131617.9153942,33500761,32133095
"19","ERR7738940",5,"Cauliflower mosaic virus (CaMV)","21","control","paired",150,"control","control","control","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","control",95.3,28249968.61737,29650291,28251259
"20","ERR7738941",6,"Cauliflower mosaic virus (CaMV)","21","control","paired",150,"control","control","control","leaf","21","Cauliflower mosaic virus (CaMV)","CaMV","control",95.4,27158251.4640967,28476519,27159360
"253","SRR8689382",7,"Erysiphe cichoracearum ","2","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.4,9912005.91572848,10609250,9912564
"254","SRR8689383",8,"Erysiphe cichoracearum ","2","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.5,9188015.73731111,9829831,9188643
"255","SRR8689384",9,"Erysiphe cichoracearum ","2","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.8,10961655.629728,11691263,10962220
"257","SRR8689389",10,"Erysiphe cichoracearum ","5","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.1,9175638.03304273,9852794,9176092
"258","SRR8689390",11,"Erysiphe cichoracearum ","5","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93,10036234.7462423,10797604,10037076
"259","SRR8689394",12,"Erysiphe cichoracearum ","7","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",94.5,9096174.32007507,9623065,9096496
"260","SRR8689395",13,"Erysiphe cichoracearum ","7","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",94.2,10336005.4134948,10968477,10336714
"261","SRR8689396",14,"Erysiphe cichoracearum ","7","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.8,11060057.3585738,11797045,11060979
"262","SRR8689400",15,"Erysiphe cichoracearum ","2","control","paired",252,"control","control","control","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","control",94.3,10625522.0492277,11274142,10626172
"264","SRR8689402",16,"Erysiphe cichoracearum ","2","control","paired",252,"control","control","control","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","control",94.6,10004666.5082001,10578778,10005205
"266","SRR8689407",17,"Erysiphe cichoracearum ","5","control","paired",252,"control","control","control","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","control",93.2,10141798.7675907,10882252,10142912
"267","SRR8689408",18,"Erysiphe cichoracearum ","5","control","paired",252,"control","control","control","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","control",95.2,9395233.55345367,9874422,9395824
"268","SRR8689412",19,"Erysiphe cichoracearum ","7","control","paired",252,"control","control","control","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","control",90.1,9177603.08729756,10185941,9178285
"270","SRR8689414",20,"Erysiphe cichoracearum ","7","control","paired",252,"control","control","control","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","control",95.2,10744865.0851167,11293079,10745370
"256","SRR8689388",21,"Erysiphe cichoracearum ","5","infected","paired",252,"infected","fungal biotroph","biotroph","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","E. cichoracearum",93.2,12548512.8267697,13466698,12549394
"263","SRR8689401",22,"Erysiphe cichoracearum ","2","control","paired",252,"control","control","control","leaf","2","Erysiphe cichoracearum ","E. cichoracearum","control",94.1,10222705.5483396,10870046,10223312
"265","SRR8689406",23,"Erysiphe cichoracearum ","5","control","paired",252,"control","control","control","leaf","5","Erysiphe cichoracearum ","E. cichoracearum","control",94.7,10689423.3142882,11289729,10690017
"269","SRR8689413",24,"Erysiphe cichoracearum ","7","control","paired",252,"control","control","control","leaf","7","Erysiphe cichoracearum ","E. cichoracearum","control",93.9,9322481.50032325,9932654,9322937
